City,County,Latitude,Longitude,State,0-4,5-9,10-14,15-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,F,M
Danvers,Essex,42.575,-70.9306,MA,0.05,0.04,0.06,0.05,0.11,0.13,0.11,0.16,0.14,0.08,0.07,0.54,0.46
Dartmouth,Bristol,41.6144,-70.9697,MA,0.05,0.02,0.06,0.09,0.17,0.1,0.12,0.13,0.12,0.08,0.06,0.52,0.48
Dedham,Norfolk,42.2466,-71.1743,MA,0.06,0.05,0.06,0.05,0.12,0.14,0.12,0.14,0.12,0.07,0.07,0.54,0.46
Deerfield,Franklin,42.5444,-72.6061,MA,0.03,0.05,0.06,0.07,0.1,0.09,0.09,0.21,0.18,0.09,0.03,0.53,0.47
Dennis,Barnstable,41.7353,-70.1944,MA,0.03,0.04,0.02,0.04,0.09,0.07,0.09,0.14,0.21,0.17,0.1,0.52,0.48
Dighton,Bristol,41.8139,-71.1208,MA,0.04,0.05,0.07,0.06,0.12,0.12,0.15,0.17,0.14,0.05,0.03,0.53,0.47
Douglas,Worcester,42.0542,-71.74,MA,0.05,0.04,0.07,0.1,0.11,0.08,0.18,0.18,0.09,0.06,0.04,0.48,0.52
Dover,Norfolk,42.2458,-71.2833,MA,0.03,0.09,0.06,0.11,0.08,0.06,0.15,0.19,0.13,0.06,0.04,0.49,0.51
Dracut,Middlesex,42.6667,-71.3,MA,0.06,0.05,0.07,0.06,0.11,0.14,0.12,0.16,0.12,0.07,0.04,0.51,0.49
Dudley,Worcester,42.0556,-71.9512,MA,0.04,0.05,0.09,0.11,0.15,0.09,0.13,0.15,0.1,0.07,0.02,0.52,0.48
Dunstable,Middlesex,42.675,-71.4833,MA,0.04,0.05,0.07,0.1,0.09,0.1,0.15,0.17,0.13,0.08,0.02,0.5,0.5
Duxbury,Plymouth,42.0417,-70.6728,MA,0.05,0.07,0.07,0.09,0.09,0.06,0.16,0.15,0.13,0.1,0.03,0.52,0.48
East Bridgewater,Plymouth,42.0335,-70.9586,MA,0.08,0.07,0.06,0.06,0.12,0.14,0.12,0.13,0.09,0.1,0.03,0.52,0.48
East Brookfield,Worcester,42.2278,-72.0472,MA,0.1,0.06,0.02,0.05,0.15,0.13,0.1,0.15,0.14,0.07,0.03,0.49,0.51
East Longmeadow,Hampden,42.0646,-72.5129,MA,0.06,0.05,0.07,0.07,0.09,0.11,0.12,0.15,0.12,0.08,0.08,0.54,0.46
Eastham,Barnstable,41.83,-69.9744,MA,0.01,0.03,0.03,0.04,0.07,0.06,0.1,0.15,0.22,0.19,0.1,0.54,0.46
Easthampton,Hampshire,42.2655,-72.669,MA,0.04,0.03,0.04,0.06,0.11,0.15,0.14,0.15,0.17,0.07,0.04,0.51,0.49
Easton,Bristol,42.0298,-71.1315,MA,0.04,0.05,0.07,0.1,0.13,0.1,0.15,0.15,0.11,0.07,0.03,0.52,0.48
Edgartown,Dukes,41.3889,-70.5139,MA,0.02,0.04,0.07,0.1,0.11,0.07,0.11,0.18,0.16,0.08,0.06,0.5,0.5
Egremont,Berkshire,42.1983,-73.4382,MA,0.03,0.07,0.04,0.07,0.07,0.07,0.13,0.15,0.17,0.13,0.07,0.53,0.47
Erving,Franklin,42.6,-72.3986,MA,0.05,0.06,0.07,0.06,0.09,0.11,0.15,0.15,0.13,0.1,0.03,0.55,0.45
Essex,Essex,42.6319,-70.7833,MA,0.05,0.06,0.04,0.05,0.11,0.11,0.12,0.15,0.15,0.08,0.08,0.53,0.47
Everett,Middlesex,42.4083,-71.0542,MA,0.06,0.06,0.06,0.06,0.17,0.15,0.15,0.13,0.09,0.04,0.03,0.51,0.49
Fairhaven,Bristol,41.6375,-70.9042,MA,0.05,0.05,0.04,0.05,0.11,0.12,0.12,0.15,0.15,0.1,0.06,0.52,0.48
Fall River,Bristol,41.7014,-71.1556,MA,0.06,0.06,0.06,0.06,0.15,0.12,0.13,0.14,0.11,0.08,0.03,0.52,0.48
Falmouth,Barnstable,41.5514,-70.6153,MA,0.03,0.06,0.05,0.05,0.07,0.09,0.09,0.15,0.19,0.14,0.08,0.52,0.48
Fitchburg,Worcester,42.5833,-71.8028,MA,0.07,0.06,0.07,0.06,0.17,0.12,0.12,0.15,0.09,0.06,0.03,0.5,0.5
Florida,Berkshire,42.6667,-73.0117,MA,0.02,0.06,0.07,0.07,0.12,0.09,0.15,0.14,0.15,0.07,0.06,0.42,0.58
Foxborough,Norfolk,42.0653,-71.2483,MA,0.06,0.05,0.07,0.06,0.1,0.14,0.14,0.14,0.12,0.06,0.06,0.51,0.49
Framingham,Middlesex,42.2792,-71.4167,MA,0.07,0.07,0.06,0.06,0.14,0.17,0.13,0.1,0.1,0.06,0.04,0.51,0.49
Franklin,Norfolk,42.0824,-71.3967,MA,0.04,0.07,0.07,0.1,0.1,0.1,0.15,0.17,0.11,0.06,0.03,0.52,0.48
Freetown,Bristol,41.7728,-71.0272,MA,0.04,0.07,0.06,0.06,0.1,0.12,0.14,0.16,0.14,0.08,0.03,0.52,0.48
Gardner,Worcester,42.575,-71.9986,MA,0.06,0.05,0.06,0.04,0.14,0.12,0.15,0.15,0.13,0.06,0.04,0.48,0.52
Georgetown,Essex,42.725,-70.9917,MA,0.04,0.05,0.09,0.08,0.09,0.11,0.14,0.19,0.1,0.08,0.03,0.5,0.5
Gill,Franklin,42.641,-72.4995,MA,0.02,0.05,0.04,0.05,0.09,0.18,0.09,0.18,0.19,0.07,0.04,0.4,0.6
Gloucester,Essex,42.6161,-70.6689,MA,0.03,0.07,0.04,0.05,0.09,0.11,0.1,0.17,0.19,0.09,0.06,0.52,0.48
Goshen,Hampshire,42.4551,-72.8274,MA,0.01,0.06,0.04,0.05,0.09,0.06,0.1,0.25,0.26,0.05,0.03,0.54,0.46
Gosnold,Dukes,41.4817,-70.7569,MA,0,0,0,0,0,0.12,0.08,0.1,0.47,0.18,0.05,0.41,0.59
Grafton,Worcester,42.2068,-71.6857,MA,0.05,0.06,0.05,0.1,0.1,0.13,0.16,0.17,0.1,0.05,0.03,0.52,0.48
Granby,Hampshire,42.2564,-72.5167,MA,0.03,0.04,0.06,0.06,0.11,0.09,0.16,0.21,0.1,0.08,0.06,0.49,0.51
Granville,Hampden,42.0674,-72.8816,MA,0.07,0.06,0.05,0.05,0.12,0.13,0.11,0.18,0.14,0.06,0.03,0.51,0.49
Great Barrington,Berkshire,42.1938,-73.3629,MA,0.04,0.06,0.08,0.08,0.1,0.07,0.11,0.14,0.2,0.07,0.05,0.53,0.47
Greenfield,Franklin,42.5875,-72.6,MA,0.03,0.06,0.04,0.05,0.12,0.15,0.13,0.13,0.14,0.09,0.06,0.5,0.5
Groton,Middlesex,42.6111,-71.575,MA,0.06,0.05,0.08,0.08,0.08,0.09,0.14,0.19,0.15,0.05,0.03,0.51,0.49
Groveland,Essex,42.7599,-71.0318,MA,0.05,0.07,0.06,0.05,0.13,0.09,0.09,0.19,0.15,0.09,0.03,0.49,0.51
Hadley,Hampshire,42.3417,-72.5889,MA,0.04,0.03,0.07,0.08,0.18,0.11,0.12,0.12,0.11,0.08,0.06,0.61,0.39
Halifax,Plymouth,41.9909,-70.8614,MA,0.05,0.06,0.05,0.06,0.12,0.13,0.13,0.16,0.13,0.07,0.04,0.53,0.47
Hamilton,Essex,42.6197,-70.8548,MA,0.05,0.09,0.08,0.07,0.08,0.12,0.12,0.18,0.11,0.06,0.04,0.49,0.51
Hampden,Hampden,42.0639,-72.4139,MA,0.04,0.04,0.05,0.05,0.13,0.11,0.13,0.2,0.11,0.09,0.05,0.5,0.5
Hancock,Berkshire,42.5431,-73.3242,MA,0.02,0.06,0.03,0.06,0.05,0.1,0.08,0.26,0.22,0.07,0.05,0.5,0.5
Hanover,Plymouth,42.1167,-70.8167,MA,0.06,0.07,0.08,0.08,0.1,0.09,0.16,0.15,0.1,0.07,0.04,0.52,0.48
Hanson,Plymouth,42.075,-70.8806,MA,0.04,0.05,0.06,0.07,0.12,0.11,0.12,0.18,0.14,0.08,0.03,0.5,0.5
Hardwick,Worcester,42.35,-72.2,MA,0.05,0.06,0.07,0.06,0.13,0.11,0.08,0.17,0.16,0.08,0.03,0.5,0.5
Harvard,Worcester,42.496,-71.5824,MA,0.05,0.06,0.05,0.07,0.07,0.11,0.14,0.19,0.16,0.08,0.02,0.42,0.58
Harwich,Barnstable,41.6863,-70.0728,MA,0.03,0.04,0.04,0.05,0.09,0.06,0.1,0.13,0.22,0.16,0.08,0.53,0.47
Hatfield,Hampshire,42.3708,-72.5986,MA,0.02,0.03,0.08,0.06,0.12,0.09,0.12,0.18,0.17,0.09,0.04,0.53,0.47
Haverhill,Essex,42.7833,-71.0833,MA,0.07,0.06,0.08,0.05,0.14,0.14,0.12,0.15,0.11,0.05,0.03,0.52,0.48
Hawley,Franklin,42.5667,-72.8833,MA,0.05,0.05,0.03,0.04,0.11,0.07,0.11,0.18,0.18,0.12,0.06,0.48,0.52
Heath,Franklin,42.6734,-72.8298,MA,0.06,0.08,0.06,0.06,0.09,0.13,0.07,0.12,0.16,0.08,0.09,0.56,0.44
Hingham,Plymouth,42.2333,-70.8833,MA,0.05,0.09,0.06,0.07,0.06,0.09,0.15,0.15,0.12,0.08,0.08,0.52,0.48
Hinsdale,Berkshire,42.4386,-73.1258,MA,0.02,0.05,0.04,0.06,0.09,0.14,0.08,0.18,0.18,0.11,0.05,0.49,0.51
Holbrook,Norfolk,42.155,-71.0092,MA,0.04,0.04,0.05,0.08,0.09,0.12,0.16,0.16,0.13,0.08,0.05,0.53,0.47
Holden,Worcester,42.3517,-71.8639,MA,0.04,0.06,0.07,0.08,0.09,0.1,0.15,0.15,0.13,0.08,0.05,0.51,0.49
Holland,Hampden,42.0639,-72.1578,MA,0.04,0.06,0.05,0.1,0.1,0.08,0.13,0.19,0.15,0.08,0.02,0.48,0.52
Holliston,Middlesex,42.1833,-71.425,MA,0.05,0.07,0.08,0.08,0.08,0.11,0.14,0.18,0.12,0.06,0.03,0.52,0.48
Holyoke,Hampden,42.2042,-72.6167,MA,0.07,0.06,0.06,0.08,0.16,0.14,0.12,0.12,0.09,0.06,0.04,0.52,0.48
Hopedale,Worcester,42.1314,-71.5419,MA,0.03,0.05,0.08,0.09,0.09,0.09,0.16,0.16,0.13,0.06,0.06,0.51,0.49
Hopkinton,Middlesex,42.2293,-71.5189,MA,0.07,0.07,0.07,0.07,0.06,0.14,0.16,0.15,0.11,0.06,0.04,0.51,0.49
Hubbardston,Worcester,42.4744,-72.0062,MA,0.04,0.06,0.06,0.04,0.13,0.1,0.11,0.18,0.16,0.09,0.03,0.5,0.5
Hudson,Middlesex,42.3912,-71.5681,MA,0.05,0.04,0.07,0.05,0.1,0.11,0.17,0.15,0.13,0.09,0.04,0.51,0.49
Kingston,Plymouth,41.9933,-70.7285,MA,0.05,0.06,0.06,0.08,0.09,0.11,0.14,0.15,0.12,0.08,0.06,0.52,0.48
Huntington,Hampshire,42.2335,-72.8797,MA,0.04,0.04,0.04,0.05,0.14,0.11,0.11,0.2,0.17,0.08,0.02,0.5,0.5
Ipswich,Essex,42.6792,-70.8417,MA,0.04,0.05,0.07,0.07,0.09,0.08,0.13,0.18,0.14,0.09,0.06,0.52,0.48
Lakeville,Plymouth,41.8458,-70.95,MA,0.05,0.07,0.06,0.07,0.1,0.1,0.14,0.17,0.15,0.06,0.03,0.5,0.5
Lancaster,Worcester,42.4571,-71.6738,MA,0.04,0.03,0.07,0.08,0.14,0.14,0.12,0.14,0.12,0.06,0.06,0.39,0.61
Lanesborough,Berkshire,42.5172,-73.2286,MA,0.03,0.07,0.04,0.05,0.09,0.09,0.08,0.18,0.22,0.11,0.04,0.51,0.49
Lawrence,Essex,42.7069,-71.1636,MA,0.1,0.05,0.06,0.04,0.19,0.14,0.12,0.13,0.1,0.03,0.04,0.51,0.49
Lee,Berkshire,42.3042,-73.2486,MA,0.05,0.03,0.07,0.06,0.11,0.12,0.12,0.14,0.13,0.1,0.07,0.54,0.46
